Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	9	8
OG0000001	11	11
OG0000002	5	5
OG0000003	6	6
OG0000004	3	2
OG0000005	2	2
OG0000006	7	7
OG0000007	2	2
OG0000008	3	3
OG0000009	7	7
OG0000010	3	2
OG0000011	2	2
OG0000012	5	5
OG0000013	3	3
OG0000014	4	4
OG0000015	3	3
OG0000016	2	2
OG0000017	2	2
OG0000018	3	3
OG0000019	2	2
OG0000020	6	6
OG0000021	1	1
OG0000022	4	4
OG0000023	1	1
OG0000024	1	1
OG0000025	2	2
OG0000026	3	3
OG0000027	1	1
OG0000028	2	1
OG0000029	2	2
OG0000030	2	1
OG0000031	2	2
OG0000032	2	2
OG0000033	3	3
OG0000034	1	1
OG0000035	1	1
OG0000036	1	1
OG0000037	1	1
OG0000038	2	2
OG0000039	1	1
OG0000040	1	1
OG0000041	1	1
OG0000042	1	1
OG0000043	3	3
OG0000044	1	1
OG0000045	1	1
OG0000046	3	3
OG0000047	2	2
OG0000048	2	2
OG0000049	2	2
OG0000050	1	1
OG0000051	3	3
OG0000052	1	1
OG0000053	2	2
OG0000054	1	1
OG0000055	1	1
OG0000056	1	1
OG0000057	2	2
OG0000058	2	2
OG0000059	2	2
OG0000060	2	2
OG0000061	2	2
OG0000062	1	1
OG0000063	1	1
OG0000064	1	1
OG0000065	1	1
OG0000066	1	1
OG0000067	1	1
OG0000068	1	1
OG0000069	1	1
OG0000070	1	1
OG0000071	1	1
OG0000072	1	1
OG0000073	1	1
OG0000074	1	1
OG0000075	1	1
OG0000076	3	3
OG0000077	2	2
OG0000078	2	2
OG0000079	1	1
OG0000080	1	1
OG0000081	2	2
OG0000082	1	1
OG0000083	1	1
OG0000084	1	1
OG0000085	1	1
OG0000086	1	1
OG0000087	2	2
OG0000088	1	1
OG0000089	1	1
OG0000090	1	1
OG0000091	1	1
OG0000092	1	1
OG0000093	1	1
OG0000094	1	1
OG0000095	1	1
OG0000096	1	1
OG0000097	1	1
OG0000098	1	1
OG0000099	1	1
OG0000100	1	1
OG0000101	1	1
OG0000102	1	1
OG0000103	1	1
OG0000104	1	1
OG0000105	1	1
OG0000106	1	1
OG0000107	1	1
OG0000108	1	1
OG0000109	1	1
OG0000110	1	1
OG0000111	1	1
OG0000112	1	1
OG0000113	1	1
OG0000114	1	1
OG0000115	1	1
OG0000116	2	2
OG0000117	3	3
