HOG	OG	Gene Tree Parent Clade	protein	protein_2	protein_3
N0.HOG0000000	OG0000000	n1	WP_154293416.1	WP_206158980.1	WP_154804042.1
N0.HOG0000001	OG0000000	n6	WP_154293406.1	WP_206158889.1	WP_154804235.1
N0.HOG0000002	OG0000000	n11	WP_014623570.1	WP_206158756.1	WP_154804422.1
N0.HOG0000003	OG0000000	n13	WP_038674024.1	WP_206158919.1, WP_206152400.1	WP_154803593.1
N0.HOG0000004	OG0000000	n16	WP_154293405.1	WP_206158888.1	
N0.HOG0000005	OG0000000	n17		WP_196819693.1	WP_154804314.1
N0.HOG0000006	OG0000000	n20	WP_154293408.1		WP_154804187.1
N0.HOG0000007	OG0000000	n21	WP_154293409.1		WP_154804185.1
N0.HOG0000008	OG0000001	n0		WP_249093352.1, WP_229297449.1, WP_249093281.1, WP_249093278.1, WP_111678241.1, WP_206158977.1, WP_249093348.1, WP_249093298.1, WP_231191967.1	WP_232013867.1, WP_227687766.1, WP_154804170.1, WP_232013883.1, WP_154803728.1, WP_154804067.1, WP_154804064.1, WP_232013928.1, WP_232013885.1, WP_232013930.1
N0.HOG0000009	OG0000002	n1	WP_014623340.1	WP_111678343.1	WP_154803614.1
N0.HOG0000010	OG0000002	n3	WP_014622589.1	WP_012515169.1, WP_111690012.1, WP_206158739.1	WP_012515169.1, WP_154803985.1, WP_154803984.1, WP_154803675.1
N0.HOG0000011	OG0000003	n0		WP_206158703.1, WP_206158976.1, WP_249093173.1, WP_206158697.1, WP_206158975.1, WP_249093326.1	WP_154803652.1, WP_154803634.1, WP_154804078.1, WP_154804077.1, WP_269471212.1
N0.HOG0000012	OG0000004	n1	WP_014623475.1	WP_012680102.1	WP_012680102.1
N0.HOG0000013	OG0000004	n5	WP_014623091.1	WP_012515878.1	WP_012515878.1
N0.HOG0000014	OG0000004	n7	WP_012515254.1	WP_021320504.1	WP_043040285.1
N0.HOG0000015	OG0000005	n1	WP_012515962.1	WP_012677665.1	WP_043029925.1
N0.HOG0000016	OG0000005	n4	WP_014622809.1	WP_206159067.1	WP_014622809.1
N0.HOG0000017	OG0000005	n6	WP_038674325.1	WP_012678019.1	WP_012678019.1
N0.HOG0000018	OG0000006	n0	WP_014622247.1, WP_228269602.1, WP_228269611.1, WP_228269585.1, WP_228269586.1, WP_229296624.1, WP_228269610.1, WP_228269588.1		
N0.HOG0000019	OG0000007	n1	WP_014623012.1	WP_043025989.1, WP_206158670.1	WP_154803793.1, WP_080312424.1
N0.HOG0000020	OG0000007	n5	WP_038674222.1	WP_138119419.1	WP_012515783.1
N0.HOG0000021	OG0000008	n0	WP_228269620.1	WP_206158947.1, WP_206156370.1, WP_043030553.1, WP_043039143.1	WP_227687790.1, WP_043030553.1, WP_154803730.1
N0.HOG0000022	OG0000009	n0			WP_012678587.1, WP_154803732.1, WP_043030556.1, WP_154804065.1, WP_043040228.1, WP_154804168.1, WP_154803729.1, WP_043052835.1
N0.HOG0000023	OG0000010	n1	WP_014622989.1	WP_138119407.1	WP_154803804.1
N0.HOG0000024	OG0000010	n3	WP_014623588.1, WP_038674716.1, WP_014622136.1		WP_014622136.1
N0.HOG0000025	OG0000011	n1	WP_014622468.1, WP_014623139.1	WP_012678588.1	WP_014623139.1
N0.HOG0000026	OG0000011	n4	WP_014622246.1	WP_014622246.1	WP_014622246.1
N0.HOG0000027	OG0000012	n0	WP_154293414.1, WP_014623219.1, WP_154293449.1, WP_014622292.1, WP_154293413.1, WP_038674123.1	WP_231196290.1	
N0.HOG0000028	OG0000013	n1	WP_014622329.1		WP_012515009.1
