Orthogroup	protein	protein_2	protein_3	Total
OG0000000	8	8	7	23
OG0000001	0	9	10	19
OG0000002	2	4	5	11
OG0000003	0	6	5	11
OG0000004	3	3	4	10
OG0000005	3	3	3	9
OG0000006	8	0	0	8
OG0000007	2	3	3	8
OG0000008	1	4	3	8
OG0000009	0	0	8	8
OG0000010	4	1	2	7
OG0000011	3	2	2	7
OG0000012	6	1	0	7
OG0000013	2	3	2	7
OG0000014	5	0	2	7
OG0000015	2	3	2	7
OG0000016	2	2	3	7
OG0000017	2	3	2	7
OG0000018	2	2	3	7
OG0000019	3	3	1	7
OG0000020	0	7	0	7
OG0000021	2	2	2	6
OG0000022	5	1	0	6
OG0000023	2	2	2	6
OG0000024	2	2	2	6
OG0000025	3	2	1	6
OG0000026	1	1	4	6
OG0000027	2	2	2	6
OG0000028	2	2	2	6
OG0000029	1	3	2	6
OG0000030	2	2	2	6
OG0000031	2	2	2	6
OG0000032	2	2	2	6
OG0000033	2	2	2	6
OG0000034	2	2	2	6
OG0000035	2	2	2	6
OG0000036	2	2	2	6
OG0000037	2	2	2	6
OG0000038	2	2	2	6
OG0000039	2	2	2	6
OG0000040	2	2	2	6
OG0000041	2	2	2	6
OG0000042	2	2	2	6
OG0000043	2	1	3	6
OG0000044	2	1	2	5
OG0000045	2	2	1	5
OG0000046	4	1	0	5
OG0000047	1	2	2	5
OG0000048	1	3	1	5
OG0000049	1	1	3	5
OG0000050	1	2	2	5
OG0000051	4	1	0	5
OG0000052	2	1	2	5
OG0000053	3	0	2	5
OG0000054	2	2	1	5
OG0000055	1	2	2	5
OG0000056	1	2	2	5
OG0000057	3	0	2	5
OG0000058	3	0	2	5
OG0000059	2	3	0	5
OG0000060	1	1	3	5
OG0000061	2	0	3	5
OG0000062	2	1	1	4
OG0000063	2	1	1	4
OG0000064	1	2	1	4
OG0000065	1	2	1	4
OG0000066	1	1	2	4
OG0000067	1	2	1	4
OG0000068	1	1	2	4
OG0000069	1	1	2	4
OG0000070	1	1	2	4
OG0000071	2	1	1	4
OG0000072	1	2	1	4
OG0000073	1	2	1	4
OG0000074	1	1	2	4
OG0000075	1	2	1	4
OG0000076	4	0	0	4
OG0000077	3	0	1	4
OG0000078	2	0	2	4
OG0000079	1	2	1	4
OG0000080	1	2	1	4
OG0000081	3	1	0	4
OG0000082	1	1	2	4
OG0000083	1	1	2	4
OG0000084	1	1	2	4
OG0000085	1	1	2	4
OG0000086	1	1	2	4
OG0000087	2	2	0	4
OG0000088	1	2	1	4
OG0000089	1	1	2	4
OG0000090	2	1	1	4
OG0000091	1	2	1	4
OG0000092	1	1	2	4
OG0000093	1	2	1	4
OG0000094	1	2	1	4
OG0000095	2	1	1	4
OG0000096	2	1	1	4
OG0000097	1	2	1	4
OG0000098	1	2	1	4
OG0000099	1	1	2	4
OG0000100	2	1	1	4
OG0000101	1	1	2	4
OG0000102	2	1	1	4
OG0000103	1	1	2	4
OG0000104	2	1	1	4
OG0000105	1	1	2	4
OG0000106	1	2	1	4
OG0000107	1	1	2	4
OG0000108	1	1	2	4
OG0000109	1	1	2	4
OG0000110	1	2	1	4
OG0000111	1	1	2	4
OG0000112	1	1	2	4
OG0000113	1	1	2	4
OG0000114	1	2	1	4
OG0000115	1	2	1	4
OG0000116	0	1	3	4
OG0000117	0	0	4	4
OG0000118	1	1	1	3
OG0000119	1	1	1	3
OG0000120	1	1	1	3
OG0000121	1	1	1	3
OG0000122	1	1	1	3
OG0000123	1	1	1	3
OG0000124	1	1	1	3
OG0000125	1	1	1	3
OG0000126	1	1	1	3
OG0000127	1	1	1	3
OG0000128	1	1	1	3
OG0000129	1	1	1	3
OG0000130	1	1	1	3
OG0000131	1	1	1	3
OG0000132	1	1	1	3
OG0000133	1	1	1	3
OG0000134	1	1	1	3
OG0000135	1	1	1	3
OG0000136	1	1	1	3
OG0000137	1	0	2	3
OG0000138	1	1	1	3
OG0000139	1	1	1	3
OG0000140	1	1	1	3
OG0000141	1	1	1	3
OG0000142	1	1	1	3
OG0000143	1	1	1	3
OG0000144	1	1	1	3
OG0000145	1	1	1	3
OG0000146	1	1	1	3
OG0000147	1	1	1	3
OG0000148	1	1	1	3
OG0000149	1	1	1	3
OG0000150	1	1	1	3
OG0000151	1	1	1	3
OG0000152	1	1	1	3
OG0000153	1	1	1	3
OG0000154	1	1	1	3
OG0000155	1	1	1	3
OG0000156	1	1	1	3
OG0000157	1	1	1	3
OG0000158	1	1	1	3
OG0000159	1	1	1	3
OG0000160	1	1	1	3
OG0000161	1	1	1	3
OG0000162	1	1	1	3
OG0000163	1	1	1	3
OG0000164	1	1	1	3
OG0000165	1	1	1	3
OG0000166	1	1	1	3
OG0000167	1	1	1	3
OG0000168	1	1	1	3
OG0000169	1	1	1	3
OG0000170	1	1	1	3
OG0000171	1	1	1	3
OG0000172	1	1	1	3
OG0000173	1	1	1	3
OG0000174	1	1	1	3
OG0000175	1	1	1	3
OG0000176	1	1	1	3
OG0000177	1	1	1	3
OG0000178	1	1	1	3
OG0000179	1	1	1	3
OG0000180	1	1	1	3
OG0000181	1	1	1	3
OG0000182	1	1	1	3
OG0000183	1	1	1	3
OG0000184	1	1	1	3
OG0000185	1	1	1	3
OG0000186	1	1	1	3
OG0000187	1	1	1	3
OG0000188	1	1	1	3
OG0000189	1	1	1	3
OG0000190	1	1	1	3
OG0000191	1	1	1	3
OG0000192	1	1	1	3
OG0000193	1	1	1	3
