Orthogroup	protein_3	protein
OG0000000	WP_154804042.1	WP_154293416.1
OG0000000	WP_154804235.1	WP_154293406.1
OG0000000	WP_154804422.1	WP_014623570.1
OG0000000	WP_154803593.1	WP_038674024.1
OG0000000	WP_154804187.1	WP_154293408.1
OG0000000	WP_154804185.1	WP_154293409.1
OG0000002	WP_154803614.1	WP_014623340.1
OG0000002	WP_012515169.1	WP_014622589.1
OG0000004	WP_012680102.1	WP_014623475.1
OG0000004	WP_012515878.1	WP_014623091.1
OG0000004	WP_043040285.1	WP_012515254.1
OG0000005	WP_043029925.1	WP_012515962.1
OG0000005	WP_014622809.1	WP_014622809.1
OG0000005	WP_012678019.1	WP_038674325.1
OG0000007	WP_080312424.1	WP_014623012.1
OG0000007	WP_012515783.1	WP_038674222.1
OG0000008	WP_227687790.1, WP_043030553.1, WP_154803730.1	WP_228269620.1
OG0000010	WP_154803804.1	WP_014622989.1
OG0000010	WP_014622136.1	WP_014622136.1
OG0000011	WP_014623139.1	WP_014622468.1, WP_014623139.1
OG0000011	WP_014622246.1	WP_014622246.1
OG0000013	WP_012515009.1	WP_014622329.1
OG0000013	WP_232013874.1	WP_014623126.1
OG0000014	WP_154804007.1	WP_154293427.1
OG0000014	WP_154804003.1	WP_228269622.1, WP_228269590.1, WP_154293448.1, WP_014622646.1
OG0000015	WP_154803867.1, WP_154803577.1	WP_014623413.1, WP_014622821.1
OG0000016	WP_154804265.1, WP_154804266.1	WP_014623687.1
OG0000016	WP_012516509.1	WP_014623686.1
OG0000017	WP_043052723.1	WP_021320365.1
OG0000017	WP_151374905.1	WP_021320244.1
OG0000018	WP_041785278.1	WP_038674160.1
OG0000018	WP_111692196.1, WP_154804121.1	WP_038674538.1
OG0000019	WP_229296622.1	WP_074632251.1, WP_079993908.1, WP_080004971.1
OG0000021	WP_021320349.1	WP_012514940.1
OG0000021	WP_154804371.1	WP_014623461.1
OG0000023	WP_154804144.1	WP_014622278.1
OG0000023	WP_012516279.1	WP_012516279.1
OG0000024	WP_154803878.1	WP_012679465.1
OG0000024	WP_154804284.1	WP_012516470.1
OG0000025	WP_154803576.1	WP_014623415.1, WP_012677437.1
OG0000026	WP_154803928.1, WP_115267186.1, WP_154804311.1, WP_154804310.1	WP_012678098.1
OG0000027	WP_154803943.1	WP_012678129.1
OG0000027	WP_043025968.1	WP_014622997.1
OG0000028	WP_043052249.1	WP_012679838.1, WP_014622160.1
OG0000029	WP_043025814.1, WP_043024949.1	WP_014622139.1
OG0000030	WP_154804190.1	WP_014622213.1
OG0000031	WP_154804167.1, WP_043051917.1	WP_038674588.1, WP_014622255.1
OG0000032	WP_111690253.1, WP_043029899.1	WP_014623124.1
OG0000033	WP_042670895.1, WP_232013876.1	WP_014622328.1, WP_014623125.1
OG0000034	WP_154803950.1	WP_014622684.1
OG0000034	WP_154804091.1	WP_014622399.1
OG0000035	WP_154804072.1	WP_014622449.1
OG0000035	WP_154803945.1	WP_014622702.1
OG0000036	WP_021320231.1	WP_021320231.1
OG0000036	WP_012515667.1	WP_014622913.1
