Orthogroup	Species	protein	Orthologs
OG0000000	protein_3	WP_154293416.1	WP_154804042.1
OG0000000	protein_2	WP_154293416.1	WP_206158980.1
OG0000000	protein_3	WP_154293406.1	WP_154804235.1
OG0000000	protein_2	WP_154293406.1	WP_206158889.1
OG0000000	protein_3	WP_014623570.1	WP_154804422.1
OG0000000	protein_2	WP_014623570.1	WP_206158756.1
OG0000000	protein_2	WP_038674024.1	WP_206158919.1, WP_206152400.1
OG0000000	protein_3	WP_038674024.1	WP_154803593.1
OG0000000	protein_2	WP_154293405.1	WP_206158888.1
OG0000000	protein_2	WP_154293408.1, WP_154293409.1	WP_206158936.1
OG0000000	protein_3	WP_154293408.1	WP_154804187.1
OG0000000	protein_3	WP_154293409.1	WP_154804185.1
OG0000002	protein_2	WP_014623340.1	WP_111678343.1
OG0000002	protein_3	WP_014623340.1	WP_154803614.1
OG0000002	protein_2	WP_014622589.1	WP_012515169.1
OG0000002	protein_3	WP_014622589.1	WP_012515169.1
OG0000004	protein_2	WP_014623475.1	WP_012680102.1
OG0000004	protein_3	WP_014623475.1	WP_012680102.1
OG0000004	protein_2	WP_014623091.1	WP_012515878.1
OG0000004	protein_3	WP_014623091.1	WP_012515878.1
OG0000004	protein_3	WP_012515254.1	WP_043040285.1
OG0000004	protein_2	WP_012515254.1	WP_021320504.1
OG0000005	protein_3	WP_012515962.1	WP_043029925.1
OG0000005	protein_2	WP_012515962.1	WP_012677665.1
OG0000005	protein_2	WP_014622809.1	WP_206159067.1
OG0000005	protein_3	WP_014622809.1	WP_014622809.1
OG0000005	protein_3	WP_038674325.1	WP_012678019.1
OG0000005	protein_2	WP_038674325.1	WP_012678019.1
OG0000007	protein_3	WP_014623012.1	WP_080312424.1
OG0000007	protein_2	WP_014623012.1	WP_206158670.1
OG0000007	protein_3	WP_038674222.1	WP_012515783.1
OG0000007	protein_2	WP_038674222.1	WP_138119419.1
OG0000008	protein_2	WP_228269620.1	WP_206158947.1, WP_206156370.1, WP_043030553.1, WP_043039143.1
OG0000008	protein_3	WP_228269620.1	WP_227687790.1, WP_043030553.1, WP_154803730.1
OG0000010	protein_3	WP_014622989.1	WP_154803804.1
OG0000010	protein_2	WP_014622989.1	WP_138119407.1
OG0000010	protein_3	WP_014622136.1	WP_014622136.1
OG0000011	protein_2	WP_014622468.1, WP_014623139.1	WP_012678588.1
OG0000011	protein_3	WP_014622468.1, WP_014623139.1	WP_014623139.1
OG0000011	protein_3	WP_014622246.1	WP_014622246.1
OG0000011	protein_2	WP_014622246.1	WP_014622246.1
OG0000012	protein_2	WP_154293414.1, WP_014623219.1, WP_154293449.1, WP_014622292.1, WP_154293413.1, WP_038674123.1	WP_231196290.1
OG0000013	protein_3	WP_014622329.1	WP_012515009.1
OG0000013	protein_3	WP_014623126.1	WP_232013874.1
OG0000013	protein_2	WP_014623126.1	WP_231871326.1, WP_206158684.1, WP_249093338.1
OG0000014	protein_3	WP_154293427.1	WP_154804007.1
OG0000014	protein_3	WP_228269622.1, WP_228269590.1, WP_154293448.1, WP_014622646.1	WP_154804003.1
OG0000015	protein_2	WP_014623413.1, WP_014622821.1	WP_206158730.1, WP_231871332.1, WP_249093119.1
OG0000015	protein_3	WP_014623413.1, WP_014622821.1	WP_154803867.1, WP_154803577.1
OG0000016	protein_2	WP_014623687.1	WP_206158846.1
OG0000016	protein_3	WP_014623687.1	WP_154804265.1, WP_154804266.1
OG0000016	protein_3	WP_014623686.1	WP_012516509.1
OG0000016	protein_2	WP_014623686.1	WP_206158844.1
OG0000017	protein_3	WP_021320365.1	WP_043052723.1
OG0000017	protein_2	WP_021320365.1	WP_115250591.1
OG0000017	protein_3	WP_021320244.1	WP_151374905.1
OG0000017	protein_2	WP_021320244.1	WP_115250537.1, WP_111677630.1
OG0000018	protein_2	WP_038674160.1, WP_038674538.1	WP_206152443.1, WP_115250604.1
OG0000018	protein_3	WP_038674160.1	WP_041785278.1
OG0000018	protein_3	WP_038674538.1	WP_111692196.1, WP_154804121.1
OG0000019	protein_3	WP_074632251.1, WP_079993908.1, WP_080004971.1	WP_229296622.1
OG0000019	protein_2	WP_074632251.1	WP_074632251.1
OG0000019	protein_2	WP_079993908.1	WP_080332469.1
OG0000019	protein_2	WP_080004971.1	WP_269457116.1
OG0000021	protein_3	WP_012514940.1	WP_021320349.1
OG0000021	protein_2	WP_012514940.1	WP_012514940.1
OG0000021	protein_2	WP_014623461.1	WP_012516278.1
OG0000021	protein_3	WP_014623461.1	WP_154804371.1
OG0000022	protein_2	WP_012678587.1, WP_014623141.1, WP_012515936.1, WP_014622249.1, WP_014622462.1	WP_012678587.1
OG0000023	protein_3	WP_014622278.1	WP_154804144.1
OG0000023	protein_2	WP_014622278.1	WP_012678544.1
OG0000023	protein_3	WP_012516279.1	WP_012516279.1
OG0000023	protein_2	WP_012516279.1	WP_012516279.1
OG0000024	protein_2	WP_012679465.1	WP_037578379.1
OG0000024	protein_3	WP_012679465.1	WP_154803878.1
OG0000024	protein_2	WP_012516470.1	WP_115251425.1
OG0000024	protein_3	WP_012516470.1	WP_154804284.1
OG0000025	protein_2	WP_038674323.1	WP_111678479.1
OG0000025	protein_3	WP_014623415.1, WP_012677437.1	WP_154803576.1
OG0000025	protein_2	WP_014623415.1, WP_012677437.1	WP_115250909.1
OG0000026	protein_2	WP_012678098.1	WP_115250853.1
OG0000026	protein_3	WP_012678098.1	WP_154803928.1, WP_115267186.1, WP_154804311.1, WP_154804310.1
OG0000027	protein_3	WP_012678129.1	WP_154803943.1
OG0000027	protein_2	WP_012678129.1	WP_021320630.1
OG0000027	protein_2	WP_014622997.1	WP_154299016.1
OG0000027	protein_3	WP_014622997.1	WP_043025968.1
OG0000028	protein_3	WP_012679838.1, WP_014622160.1	WP_043052249.1
OG0000028	protein_2	WP_012679838.1	WP_012679838.1
OG0000029	protein_3	WP_014622139.1	WP_043025814.1, WP_043024949.1
OG0000029	protein_2	WP_014622139.1	WP_015057298.1, WP_206158625.1, WP_206158896.1
OG0000030	protein_2	WP_014622213.1, WP_014623300.1	WP_138119633.1
OG0000030	protein_3	WP_014622213.1	WP_154804190.1
OG0000031	protein_3	WP_038674588.1, WP_014622255.1	WP_154804167.1, WP_043051917.1
OG0000031	protein_2	WP_038674588.1	WP_115250547.1
OG0000031	protein_2	WP_014622255.1	WP_206158954.1
OG0000032	protein_2	WP_014623124.1	WP_115250603.1
OG0000032	protein_3	WP_014623124.1	WP_111690253.1, WP_043029899.1
OG0000032	protein_2	WP_014622327.1	WP_043039122.1
OG0000033	protein_3	WP_014622328.1, WP_014623125.1	WP_042670895.1, WP_232013876.1
OG0000033	protein_2	WP_014622328.1, WP_014623125.1	WP_231146773.1, WP_249093152.1
OG0000034	protein_3	WP_014622684.1	WP_154803950.1
OG0000034	protein_2	WP_014622684.1	WP_206156318.1
OG0000034	protein_2	WP_014622399.1	WP_206156393.1
OG0000034	protein_3	WP_014622399.1	WP_154804091.1
OG0000035	protein_2	WP_014622449.1	WP_043030545.1
OG0000035	protein_3	WP_014622449.1	WP_154804072.1
OG0000035	protein_3	WP_014622702.1	WP_154803945.1
OG0000035	protein_2	WP_014622702.1	WP_111690045.1
OG0000036	protein_2	WP_021320231.1	WP_021320231.1
OG0000036	protein_3	WP_021320231.1	WP_021320231.1
OG0000036	protein_2	WP_014622913.1	WP_012515667.1
OG0000036	protein_3	WP_014622913.1	WP_012515667.1
OG0000037	protein_3	WP_014623324.1	WP_154803623.1
OG0000037	protein_2	WP_014623324.1	WP_206158713.1
OG0000037	protein_3	WP_014623099.1	WP_021320936.1
OG0000037	protein_2	WP_014623099.1	WP_206152450.1
OG0000038	protein_3	WP_014623662.1	WP_154804282.1
OG0000038	protein_2	WP_154293455.1	WP_206158803.1, WP_206158811.1
OG0000038	protein_3	WP_154293455.1	WP_154804287.1
OG0000039	protein_2	WP_038674566.1	WP_012678520.1
OG0000039	protein_3	WP_038674566.1	WP_012514977.1
OG0000039	protein_2	WP_021320395.1	WP_041785288.1
OG0000039	protein_3	WP_021320395.1	WP_021320395.1
OG0000040	protein_2	WP_038674744.1	WP_012677358.1
OG0000040	protein_3	WP_038674744.1	WP_154804357.1
OG0000040	protein_2	WP_038674281.1	WP_111678145.1
OG0000040	protein_3	WP_038674281.1	WP_012677935.1
OG0000041	protein_2	WP_154293443.1	WP_206152509.1
OG0000041	protein_3	WP_154293443.1	WP_154803826.1
OG0000041	protein_2	WP_038674455.1	WP_206156356.1
OG0000041	protein_3	WP_038674455.1	WP_154804043.1
OG0000042	protein_2	WP_038674598.1	WP_041785235.1
OG0000042	protein_3	WP_038674598.1	WP_012678603.1
OG0000042	protein_2	WP_038674873.1	WP_206158931.1
OG0000042	protein_3	WP_038674873.1	WP_111710917.1
OG0000043	protein_2	WP_165620476.1, WP_165620660.1	WP_115250806.1
OG0000043	protein_3	WP_165620476.1, WP_165620660.1	WP_165627468.1, WP_172954511.1, WP_165626751.1
OG0000044	protein_2	WP_014623017.1, WP_012515781.1	WP_043036962.1
OG0000044	protein_3	WP_014623017.1	WP_154804385.1
OG0000044	protein_3	WP_012515781.1	WP_012515781.1
OG0000045	protein_3	WP_012515981.1, WP_014623329.1	WP_111692688.1
OG0000045	protein_2	WP_012515981.1	WP_043039163.1
OG0000045	protein_2	WP_014623329.1	WP_111678334.1
OG0000046	protein_2	WP_014622818.1, WP_014622814.1, WP_012516221.1, WP_014622816.1	WP_111678062.1
OG0000047	protein_2	WP_012677439.1	WP_111678065.1, WP_165627640.1
OG0000047	protein_3	WP_012677439.1	WP_012677439.1, WP_154803866.1
OG0000048	protein_3	WP_012678015.1	WP_154803868.1
OG0000048	protein_2	WP_012678015.1	WP_206158613.1, WP_249093189.1, WP_231871354.1
OG0000049	protein_2	WP_012678458.1	WP_012678458.1
OG0000049	protein_3	WP_012678458.1	WP_269471216.1, WP_269471215.1, WP_021320402.1
OG0000050	protein_3	WP_012678623.1	WP_154804000.1, WP_154803990.1
OG0000050	protein_2	WP_012678623.1	WP_111690001.1, WP_206158990.1
OG0000051	protein_2	WP_014623178.1, WP_014622158.1, WP_038674783.1, WP_014622157.1	WP_206158909.1
OG0000052	protein_2	WP_041788153.1	WP_196819690.1
OG0000052	protein_3	WP_041788153.1	WP_154804317.1
OG0000052	protein_3	WP_014622411.1	WP_154803788.1
OG0000053	protein_3	WP_154293432.1	WP_154804005.1
OG0000053	protein_3	WP_038674412.1, WP_014622649.1	WP_043052920.1
OG0000054	protein_2	WP_014623223.1	WP_111710705.1
OG0000054	protein_3	WP_014623223.1	WP_154803650.1
OG0000054	protein_2	WP_014622686.1	WP_206158996.1
OG0000055	protein_2	WP_014622881.1	WP_111678609.1, WP_206158883.1
OG0000055	protein_3	WP_014622881.1	WP_154804341.1, WP_154804347.1
OG0000056	protein_3	WP_014623134.1	WP_043039483.1, WP_154803736.1
OG0000056	protein_2	WP_014623134.1	WP_043039483.1, WP_206158685.1
OG0000057	protein_3	WP_014623493.1	WP_080332811.1
OG0000057	protein_3	WP_080004982.1, WP_014623260.1	WP_154803564.1
OG0000058	protein_3	WP_014623504.1, WP_038674416.1	WP_154803562.1
OG0000058	protein_3	WP_014623272.1	WP_154803979.1
OG0000059	protein_2	WP_037579452.1	WP_206158772.1
OG0000059	protein_2	WP_169724980.1	WP_037579467.1, WP_165620175.1
OG0000060	protein_2	WP_038674819.1	WP_206158638.1
OG0000060	protein_3	WP_038674819.1	WP_172954534.1, WP_154803680.1, WP_154803905.1
OG0000061	protein_3	WP_228269587.1	WP_232013881.1
OG0000061	protein_3	WP_228269603.1	WP_232013869.1, WP_232013871.1
OG0000062	protein_2	WP_009662862.1, WP_038674683.1	WP_206158809.1
OG0000062	protein_3	WP_009662862.1, WP_038674683.1	WP_154804283.1
OG0000063	protein_3	WP_014622590.1, WP_012515170.1	WP_043029447.1
OG0000063	protein_2	WP_014622590.1, WP_012515170.1	WP_206156376.1
OG0000064	protein_3	WP_012516427.1	WP_012516427.1
OG0000064	protein_2	WP_012516427.1	WP_012516427.1, WP_138119161.1
OG0000065	protein_3	WP_012516443.1	WP_012516443.1
OG0000065	protein_2	WP_012516443.1	WP_012516443.1, WP_011106694.1
OG0000066	protein_2	WP_012516446.1	WP_206158790.1
OG0000066	protein_3	WP_012516446.1	WP_012678692.1, WP_111690337.1
OG0000067	protein_3	WP_012677648.1	WP_154803617.1
OG0000067	protein_2	WP_012677648.1	WP_111678243.1, WP_255313937.1
OG0000068	protein_2	WP_012678474.1	WP_115250620.1
OG0000068	protein_3	WP_012678474.1	WP_154803983.1, WP_154804111.1
OG0000069	protein_2	WP_012678706.1	WP_043039543.1
OG0000069	protein_3	WP_012678706.1	WP_012678706.1, WP_037578457.1
OG0000070	protein_2	WP_014622077.1	WP_206158855.1
OG0000070	protein_3	WP_014622077.1	WP_154804110.1, WP_154804258.1
OG0000071	protein_2	WP_014622159.1, WP_014623177.1	WP_206158910.1
OG0000071	protein_3	WP_014622159.1, WP_014623177.1	WP_154803668.1
OG0000072	protein_3	WP_014622242.1	WP_012514890.1
OG0000072	protein_2	WP_014622242.1	WP_231146896.1, WP_043038466.1
OG0000073	protein_3	WP_014622253.1	WP_154804166.1
OG0000073	protein_2	WP_014622253.1	WP_111678357.1, WP_164335356.1
OG0000074	protein_2	WP_014622274.1	WP_012678549.1
OG0000074	protein_3	WP_014622274.1	WP_154804002.1, WP_012678549.1
OG0000075	protein_3	WP_014622293.1	WP_154804135.1
OG0000075	protein_2	WP_014622293.1	WP_206158770.1, WP_115250583.1
OG0000077	protein_3	WP_266095218.1, WP_014622636.1, WP_014622635.1	WP_154803716.1
OG0000078	protein_3	WP_014622643.1, WP_014622648.1	WP_154804006.1, WP_115250782.1
OG0000079	protein_2	WP_014622652.1	WP_206158988.1, WP_249093364.1
OG0000079	protein_3	WP_014622652.1	WP_154803974.1
OG0000080	protein_2	WP_014622736.1	WP_206158768.1, WP_206159012.1
OG0000080	protein_3	WP_014622736.1	WP_154803929.1
OG0000081	protein_2	WP_014622815.1, WP_014623417.1, WP_014622819.1	WP_111678485.1
OG0000082	protein_2	WP_014623170.1	WP_206158687.1
OG0000082	protein_3	WP_014623170.1	WP_012679829.1, WP_043030192.1
OG0000083	protein_2	WP_014623171.1	WP_043039159.1
OG0000083	protein_3	WP_014623171.1	WP_154804321.1, WP_111721714.1
OG0000084	protein_2	WP_014623172.1	WP_043039160.1
OG0000084	protein_3	WP_014623172.1	WP_014623172.1, WP_043030194.1
OG0000085	protein_2	WP_014623179.1	WP_043039168.1
